case_id,CTR_SIZE,GROSS,YARD_SLOT,n_events,n_unique_activities,n_unique_roles,hours_atb_to_discharge,flag_quarantine,flag_customs,flag_damage,dwell_hours,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AMCU9293345-2021-09-03,40.0,26.1,14.0,7,7,7,2.0720616666666665,1,0,0,13.130833333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AMCU9294573-2021-09-07,40.0,28.0,18.0,6,6,6,9.220759444444443,1,0,0,11.13111111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AMCU9294700-2021-08-13,40.0,33.61,12.0,5,5,5,2.802004166666667,0,0,0,35.419444444444444,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AMCU9294737-2021-09-07,40.0,27.0,38.0,6,6,6,4.2412975,1,0,0,33.44777777777778,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9295585-2021-07-19,40.0,33.56,10.0,6,6,6,25.541186111111113,1,0,0,38.35,False,False,False,False,True,False,False,False,False,False,False,False,True,False,20
AMCU9296452-2021-08-13,40.0,28.3,2.0,6,6,6,4.174238611111111,1,0,0,68.67083333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMFU1410940-2021-09-15,20.0,5.2,77.0,4,4,4,23.21696083333333,0,0,0,42.623333333333335,False,True,False,False,False,False,False,False,False,False,False,False,True,False,14
AMFU3063109-2021-09-16,20.0,22.49,45.0,7,7,7,8.849575833333335,1,0,0,25.471944444444443,True,False,False,False,False,False,False,False,False,False,False,False,True,False,31
AMFU3101831-2021-08-20,20.0,20.3,71.0,5,5,5,10.3027125,0,0,0,13.038333333333334,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12
AMFU3143190-2021-06-27,20.0,27.9,111.0,4,4,4,5.4734702777777775,0,0,0,78.11666666666666,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11
AMFU3151278-2021-08-09,20.0,28.8,31.0,3,3,3,11.414793055555554,0,0,0,73.82166666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AMFU3152818-2021-07-16,20.0,20593.0,85.0,4,4,4,24.025279722222223,1,0,0,259.35,True,False,False,False,False,False,False,False,False,False,False,False,True,False,16
AMFU3153012-2021-08-28,20.0,25.45,93.0,3,3,3,8.551967222222222,0,0,0,81.80833333333334,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11
AMFU3157553-2021-09-17,20.0,26.49,91.0,6,6,6,34.51969611111111,0,0,0,49.74111111111111,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11
AMFU3158776-2021-07-20,20.0,26.95,1.0,4,4,4,6.083136111111111,0,0,0,59.083333333333336,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AMFU3159350-2021-09-04,20.0,27236.0,35.0,6,6,6,24.31337027777778,0,0,0,23.982222222222223,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AMFU3165008-2021-08-28,20.0,22.18,57.0,5,5,5,15.750020277777777,0,0,0,40.48722222222222,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AMFU3167079-2021-07-13,20.0,16.7,5.0,4,4,4,11.586973055555557,0,0,0,266.75,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14
AMFU3171989-2021-09-25,20.0,22.6,23.0,6,6,6,17.513268333333333,1,0,0,70.59388888888888,True,False,False,False,False,False,False,False,False,False,False,False,True,False,31
AMFU3173359-2021-08-17,20.0,22.4,103.0,4,4,4,5.33183,1,0,0,96.75944444444444,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AMFU3179613-2021-07-05,20.0,29025.0,65.0,5,5,5,5.043013888888889,0,0,0,22.8,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12
AMFU3187476-2021-08-12,20.0,28.5,83.0,4,4,4,7.163208888888889,0,0,0,89.26916666666666,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14
